Year,GDP_per_capita
2000,3217.84693448467
2001,2847.15191945908
2002,2688.23676032806
2003,4062.21755993786
2004,5221.46333731721
2005,5836.87663325127
2006,6077.38293388876
2007,6591.85535960564
2008,6184.75474328399
2009,6374.70560042993
2010,7973.47195771517
2011,8646.05571071635
2012,8076.97678479741
2013,7331.65467384919
2014,6856.73137092522
2015,6112.27382485974
2016,5651.20585165749
2017,6618.33508255701
2018,6914.1780318076
2019,6533.71121032856
2020,5580.60383075189
2021,6843.39941886204
2022,6523.41097815853
