Year,Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Unemployment, total (% of total labor force) (modeled ILO estimate)"
1975,,,
1976,,,
1977,,,
1978,,,
1979,,,
1980,,,
1981,,,
1982,,,
1983,,,
1984,,,
1985,,,
1986,,,
1987,,,
1988,,,
1989,,,
1990,,,
1991,,,23.002
1992,,,23.262
1993,,,23.179
1994,,,22.942
1995,,,22.647
1996,,,22.48
1997,,,22.518
1998,,,22.673
1999,,,22.791
2000,7.3366189,236.08114624,22.714
2001,7.12327909,202.81065369,22.605
2002,6.67774487,179.5135498,22.547
2003,7.04098177,286.01998901,22.629
2004,6.938416,362.28662109,22.538
2005,6.86216164,400.5355835,22.461
2006,6.87650871,417.91174316,22.324
2007,6.90510845,455.17498779,22.287
2008,7.14832258,442.10626221,22.407
2009,7.64941454,487.62774658,23.523
2010,7.79358244,621.41906738,24.683
2011,7.94434404,686.87243652,24.639
2012,8.00428867,646.49920654,24.727
2013,8.10322285,593.80157471,24.561
2014,7.87136555,539.30780029,24.89
2015,8.05304241,491.90652466,25.149
2016,8.07959366,456.56936646,26.536
2017,7.97711229,527.52020264,27.035
2018,8.08196545,558.8013916,26.906
2019,8.24652576,538.80426025,28.468
2020,9.01329231,503.46759033,29.217
2021,8.67432785,592.53417969,34.007
2022,8.77086639,569.84075928,33.268
2023,,,32.098
2024,,,33.168
