Year,AlcoholConsumption,HomicideRate,GDP_per_capita,Current health expenditure (% of GDP)_x,Current health expenditure per capita (current US$)_x,"Unemployment, total (% of total labor force) (modeled ILO estimate)_x",SuicideRate,SuicideRate_Lower,SuicideRate_Upper
2000,8.742056228,45.012212145,3217.84693448467,7.3366189,236.08114624,22.714,13.13252421,10.6161744,15.49251677
2001,8.742056228,45.09041262,2847.15191945908,7.12327909,202.81065369,22.605,13.24566946,10.82006457,15.69380859
2002,8.4838378,47.4725667,2688.23676032806,6.67774487,179.5135498,22.547,14.59886891,11.96204021,17.23477311
2003,8.366665631,44.799503,4062.21755993786,7.04098177,286.01998901,22.629,15.75987039,12.81971641,18.51333086
2004,8.343870926,44.53024002,5221.46333731721,6.938416,362.28662109,22.538,16.07498067,13.05387133,18.85186246
2005,8.402675833,18.90525606,5836.87663325127,6.86216164,400.5355835,22.461,15.63631495,12.68592161,18.30875311
2006,8.470211685,17.91543805,6077.38293388876,6.87650871,417.91174316,22.324,16.09959663,13.05927817,18.68791742
2007,8.476132478,16.74180957,6591.85535960564,6.90510845,455.17498779,22.287,15.96085285,12.99024346,18.62828348
2008,8.391782519,16.46463811,6184.75474328399,7.14832258,442.10626221,22.407,16.84225694,13.63250891,19.74062765
2009,8.248683244,15.51968485,6374.70560042993,7.64941454,487.62774658,23.523,16.40785609,13.42078729,19.15867502
2010,8.239291765,14.26669828,7973.47195771517,7.79358244,621.41906738,24.683,18.77949292,15.86161021,22.27030943
2011,8.336959407,13.71813787,8646.05571071635,7.94434404,686.87243652,24.639,17.29478881,14.63604465,20.58317901
2012,8.421342829,13.44677299,8076.97678479741,8.00428867,646.49920654,24.727,18.1804921,15.26851996,21.46301886
2013,8.441096914,13.40854924,7331.65467384919,8.10322285,593.80157471,24.561,18.69733573,15.51720384,22.16723887
2014,8.451978748,13.51031696,6856.73137092522,7.87136555,539.30780029,24.89,20.07203895,16.56397986,24.05517766
2015,8.443987747,13.7040224,6112.27382485974,8.05304241,491.90652466,25.149,20.7446501,17.01479454,25.24709771
2016,8.397732327,13.95566931,5651.20585165749,8.07959366,456.56936646,26.536,19.58415594,15.95850457,24.57981699
2017,8.424605546999999,14.477758,6618.33508255701,7.97711229,527.52020264,27.035,18.18689117,14.72960122,22.72848714
2018,8.451478767,13.54616672,6914.1780318076,8.08196545,558.8013916,26.906,19.15264685,15.29482657,23.12462376
2019,7.9399256,13.50828653,6533.71121032856,8.24652576,538.80426025,28.468,20.1403132,15.96435711,24.10974359
2020,7.865897609499999,12.96197267,5580.60383075189,9.01329231,503.46759033,29.217,21.09957574,16.65887498,25.31419798
2021,7.791869619,12.53324422,6843.39941886204,8.67432785,592.53417969,34.007,22.29580067,17.17462956,26.52338703
2022,7.791869619,12.53324422,6523.41097815853,8.77086639,569.84075928,33.268,22.29580067,17.17462956,26.52338703
2023,7.791869619,12.53324422,6523.41097815853,8.77086639,569.84075928,32.098,22.29580067,17.17462956,26.52338703
2024,7.791869619,12.53324422,6523.41097815853,8.77086639,569.84075928,33.168,22.29580067,17.17462956,26.52338703
