Year,AlcoholConsumption,HomicideRate,GDP_per_capita,"Unemployment, total (% of total labor force) (modeled ILO estimate)_x",SuicideRate,AlcoholConsumption_lag1,HomicideRate_lag1,GDP_per_capita_lag1,"Unemployment, total (% of total labor force) (modeled ILO estimate)_x_lag1",AlcoholConsumption_lag2,HomicideRate_lag2,GDP_per_capita_lag2,"Unemployment, total (% of total labor force) (modeled ILO estimate)_x_lag2",AlcoholConsumption_roll3,HomicideRate_roll3,GDP_per_capita_roll3,"Unemployment, total (% of total labor force) (modeled ILO estimate)_x_roll3",Year_scaled
2000,8.742056228,45.012212145,3217.84693448467,22.714,13.13252421,8.742056228,45.012212145,3217.84693448467,22.714,8.742056228,45.012212145,3217.84693448467,22.714,8.655983418666667,45.858397155,2917.7452047572697,22.622,0
2001,8.742056228,45.09041262,2847.15191945908,22.605,13.24566946,8.742056228,45.012212145,3217.84693448467,22.714,8.742056228,45.012212145,3217.84693448467,22.714,8.655983418666667,45.858397155,2917.7452047572697,22.622,1
2002,8.4838378,47.4725667,2688.23676032806,22.547,14.59886891,8.742056228,45.09041262,2847.15191945908,22.605,8.742056228,45.012212145,3217.84693448467,22.714,8.655983418666667,45.858397155,2917.7452047572697,22.622,2
2003,8.366665631,44.799503,4062.21755993786,22.629,15.75987039,8.4838378,47.4725667,2688.23676032806,22.547,8.742056228,45.09041262,2847.15191945908,22.605,8.530853219666666,45.787494106666664,3199.2020799083334,22.593666666666667,3
2004,8.343870926,44.53024002,5221.46333731721,22.538,16.07498067,8.366665631,44.799503,4062.21755993786,22.629,8.4838378,47.4725667,2688.23676032806,22.547,8.398124785666667,45.60076990666667,3990.6392191943764,22.57133333333333,4
2005,8.402675833,18.90525606,5836.87663325127,22.461,15.63631495,8.343870926,44.53024002,5221.46333731721,22.538,8.366665631,44.799503,4062.21755993786,22.629,8.371070796666666,36.07833302666666,5040.185843502113,22.542666666666666,5
2006,8.470211685,17.91543805,6077.38293388876,22.324,16.09959663,8.402675833,18.90525606,5836.87663325127,22.461,8.343870926,44.53024002,5221.46333731721,22.538,8.405586148,27.116978043333333,5711.907634819079,22.441,6
2007,8.476132478,16.74180957,6591.85535960564,22.287,15.96085285,8.470211685,17.91543805,6077.38293388876,22.324,8.402675833,18.90525606,5836.87663325127,22.461,8.449673332,17.854167893333333,6168.704975581891,22.357333333333333,7
2008,8.391782519,16.46463811,6184.75474328399,22.407,16.84225694,8.476132478,16.74180957,6591.85535960564,22.287,8.470211685,17.91543805,6077.38293388876,22.324,8.446042227333333,17.040628576666666,6284.664345592796,22.339333333333332,8
2009,8.248683244,15.51968485,6374.70560042993,23.523,16.40785609,8.391782519,16.46463811,6184.75474328399,22.407,8.476132478,16.74180957,6591.85535960564,22.287,8.372199413666666,16.242044176666667,6383.77190110652,22.739,9
2010,8.239291765,14.26669828,7973.47195771517,24.683,18.77949292,8.248683244,15.51968485,6374.70560042993,23.523,8.391782519,16.46463811,6184.75474328399,22.407,8.293252509333334,15.41700708,6844.31076714303,23.537666666666667,10
2011,8.336959407,13.71813787,8646.05571071635,24.639,17.29478881,8.239291765,14.26669828,7973.47195771517,24.683,8.248683244,15.51968485,6374.70560042993,23.523,8.274978138666667,14.501506999999998,7664.744422953817,24.281666666666666,11
2012,8.421342829,13.44677299,8076.97678479741,24.727,18.1804921,8.336959407,13.71813787,8646.05571071635,24.639,8.239291765,14.26669828,7973.47195771517,24.683,8.332531333666667,13.81053638,8232.16815107631,24.683000000000003,12
2013,8.441096914,13.40854924,7331.65467384919,24.561,18.69733573,8.421342829,13.44677299,8076.97678479741,24.727,8.336959407,13.71813787,8646.05571071635,24.639,8.399799716666665,13.524486699999999,8018.229056454317,24.64233333333333,13
2014,8.451978748,13.51031696,6856.73137092522,24.89,20.07203895,8.441096914,13.40854924,7331.65467384919,24.561,8.421342829,13.44677299,8076.97678479741,24.727,8.438139497,13.455213063333332,7421.787609857273,24.726,14
2015,8.443987747,13.7040224,6112.27382485974,25.149,20.7446501,8.451978748,13.51031696,6856.73137092522,24.89,8.441096914,13.40854924,7331.65467384919,24.561,8.445687803,13.540962866666666,6766.886623211383,24.866666666666664,15
2016,8.397732327,13.95566931,5651.20585165749,26.536,19.58415594,8.443987747,13.7040224,6112.27382485974,25.149,8.451978748,13.51031696,6856.73137092522,24.89,8.431232940666666,13.723336223333334,6206.737015814149,25.525000000000002,16
2017,8.424605546999999,14.477758,6618.33508255701,27.035,18.18689117,8.397732327,13.95566931,5651.20585165749,26.536,8.443987747,13.7040224,6112.27382485974,25.149,8.422108540333333,14.04581657,6127.271586358081,26.24,17
2018,8.451478767,13.54616672,6914.1780318076,26.906,19.15264685,8.424605546999999,14.477758,6618.33508255701,27.035,8.397732327,13.95566931,5651.20585165749,26.536,8.424605546999999,13.99319801,6394.572988674033,26.825666666666667,18
2019,7.9399256,13.50828653,6533.71121032856,28.468,20.1403132,8.451478767,13.54616672,6914.1780318076,26.906,8.424605546999999,14.477758,6618.33508255701,27.035,8.272003304666667,13.844070416666668,6688.74144156439,27.46966666666667,19
2020,7.865897609499999,12.96197267,5580.60383075189,29.217,21.09957574,7.9399256,13.50828653,6533.71121032856,28.468,8.451478767,13.54616672,6914.1780318076,26.906,8.085767325499999,13.338808640000002,6342.831024296017,28.197,20
2021,7.791869619,12.53324422,6843.39941886204,34.007,22.29580067,7.865897609499999,12.96197267,5580.60383075189,29.217,7.9399256,13.50828653,6533.71121032856,28.468,7.865897609499999,13.001167806666666,6319.238153314163,30.564000000000004,21
2022,7.791869619,12.53324422,6523.41097815853,33.268,22.29580067,7.791869619,12.53324422,6843.39941886204,34.007,7.865897609499999,12.96197267,5580.60383075189,29.217,7.816545615833333,12.676153703333332,6315.80474259082,32.163999999999994,22
2023,7.791869619,12.53324422,6523.41097815853,32.098,22.29580067,7.791869619,12.53324422,6523.41097815853,33.268,7.791869619,12.53324422,6843.39941886204,34.007,7.791869619,12.53324422,6630.073791726368,33.12433333333333,23
2024,7.791869619,12.53324422,6523.41097815853,33.168,22.29580067,7.791869619,12.53324422,6523.41097815853,32.098,7.791869619,12.53324422,6523.41097815853,33.268,7.791869619,12.53324422,6523.41097815853,32.84466666666667,24
